class,filename,path,extension,width,height,mode,file_size_kb
hazardous,hazardous_battery-10.jpg,dataset\hazardous\hazardous_battery-10.jpg,.jpg,224,224,RGB,13.83
hazardous,hazardous_battery-10_aug1462.jpg,dataset\hazardous\hazardous_battery-10_aug1462.jpg,.jpg,224,224,RGB,13.83
hazardous,hazardous_battery-10_aug596.jpg,dataset\hazardous\hazardous_battery-10_aug596.jpg,.jpg,224,224,RGB,12.77
hazardous,hazardous_battery-10_aug895.jpg,dataset\hazardous\hazardous_battery-10_aug895.jpg,.jpg,224,224,RGB,14.77
hazardous,hazardous_battery-11_aug2135.jpg,dataset\hazardous\hazardous_battery-11_aug2135.jpg,.jpg,224,224,RGB,15.89
hazardous,hazardous_battery-11_aug2493.jpg,dataset\hazardous\hazardous_battery-11_aug2493.jpg,.jpg,224,224,RGB,15.86
hazardous,hazardous_battery-11_aug40.jpg,dataset\hazardous\hazardous_battery-11_aug40.jpg,.jpg,224,224,RGB,15.63
hazardous,hazardous_battery-11_aug640.jpg,dataset\hazardous\hazardous_battery-11_aug640.jpg,.jpg,224,224,RGB,15.19
hazardous,hazardous_battery-12_aug1083.jpg,dataset\hazardous\hazardous_battery-12_aug1083.jpg,.jpg,224,224,RGB,16.6
hazardous,hazardous_battery-12_aug1305.jpg,dataset\hazardous\hazardous_battery-12_aug1305.jpg,.jpg,224,224,RGB,16.26
hazardous,hazardous_battery-12_aug2295.jpg,dataset\hazardous\hazardous_battery-12_aug2295.jpg,.jpg,224,224,RGB,16.26
hazardous,hazardous_battery-12_aug2473.jpg,dataset\hazardous\hazardous_battery-12_aug2473.jpg,.jpg,224,224,RGB,16.28
hazardous,hazardous_battery-13.jpg,dataset\hazardous\hazardous_battery-13.jpg,.jpg,224,224,RGB,11.64
hazardous,hazardous_battery-13_aug1759.jpg,dataset\hazardous\hazardous_battery-13_aug1759.jpg,.jpg,224,224,RGB,7.33
hazardous,hazardous_battery-13_aug242.jpg,dataset\hazardous\hazardous_battery-13_aug242.jpg,.jpg,224,224,RGB,11.65
hazardous,hazardous_battery-14.jpg,dataset\hazardous\hazardous_battery-14.jpg,.jpg,224,224,RGB,15.22
hazardous,hazardous_battery-14_aug1287.jpg,dataset\hazardous\hazardous_battery-14_aug1287.jpg,.jpg,224,224,RGB,14.12
hazardous,hazardous_battery-14_aug1527.jpg,dataset\hazardous\hazardous_battery-14_aug1527.jpg,.jpg,224,224,RGB,15.83
hazardous,hazardous_battery-14_aug190.jpg,dataset\hazardous\hazardous_battery-14_aug190.jpg,.jpg,224,224,RGB,15.2
hazardous,hazardous_battery-14_aug978.jpg,dataset\hazardous\hazardous_battery-14_aug978.jpg,.jpg,224,224,RGB,14.9
hazardous,hazardous_battery-15_aug1445.jpg,dataset\hazardous\hazardous_battery-15_aug1445.jpg,.jpg,224,224,RGB,14.15
hazardous,hazardous_battery-15_aug1942.jpg,dataset\hazardous\hazardous_battery-15_aug1942.jpg,.jpg,224,224,RGB,14.79
hazardous,hazardous_battery-15_aug2353.jpg,dataset\hazardous\hazardous_battery-15_aug2353.jpg,.jpg,224,224,RGB,13.51
hazardous,hazardous_battery-15_aug2567.jpg,dataset\hazardous\hazardous_battery-15_aug2567.jpg,.jpg,224,224,RGB,14.99
hazardous,hazardous_battery-15_aug2670.jpg,dataset\hazardous\hazardous_battery-15_aug2670.jpg,.jpg,224,224,RGB,13.73
hazardous,hazardous_battery-16_aug1304.jpg,dataset\hazardous\hazardous_battery-16_aug1304.jpg,.jpg,224,224,RGB,13.5
hazardous,hazardous_battery-16_aug2061.jpg,dataset\hazardous\hazardous_battery-16_aug2061.jpg,.jpg,224,224,RGB,13.38
hazardous,hazardous_battery-16_aug2316.jpg,dataset\hazardous\hazardous_battery-16_aug2316.jpg,.jpg,224,224,RGB,13.49
hazardous,hazardous_battery-17_aug1505.jpg,dataset\hazardous\hazardous_battery-17_aug1505.jpg,.jpg,224,224,RGB,13.46
hazardous,hazardous_battery-17_aug1697.jpg,dataset\hazardous\hazardous_battery-17_aug1697.jpg,.jpg,224,224,RGB,14.0
hazardous,hazardous_battery-17_aug843.jpg,dataset\hazardous\hazardous_battery-17_aug843.jpg,.jpg,224,224,RGB,13.45
hazardous,hazardous_battery-18_aug1737.jpg,dataset\hazardous\hazardous_battery-18_aug1737.jpg,.jpg,224,224,RGB,13.53
hazardous,hazardous_battery-18_aug2733.jpg,dataset\hazardous\hazardous_battery-18_aug2733.jpg,.jpg,224,224,RGB,12.42
hazardous,hazardous_battery-19_aug1335.jpg,dataset\hazardous\hazardous_battery-19_aug1335.jpg,.jpg,224,224,RGB,14.35
