class,filename,width,height,file_size_kb
hazardous,hazardous_battery-10.jpg,224,224,13.83
hazardous,hazardous_battery-10_aug1462.jpg,224,224,13.83
hazardous,hazardous_battery-10_aug596.jpg,224,224,12.79
hazardous,hazardous_battery-10_aug895.jpg,224,224,14.77
hazardous,hazardous_battery-11_aug2135.jpg,224,224,15.91
hazardous,hazardous_battery-11_aug2493.jpg,224,224,15.89
hazardous,hazardous_battery-11_aug40.jpg,224,224,15.66
hazardous,hazardous_battery-11_aug640.jpg,224,224,15.2
hazardous,hazardous_battery-12_aug1083.jpg,224,224,16.58
hazardous,hazardous_battery-12_aug1305.jpg,224,224,16.26
hazardous,hazardous_battery-12_aug2295.jpg,224,224,16.29
hazardous,hazardous_battery-12_aug2473.jpg,224,224,16.25
hazardous,hazardous_battery-13.jpg,224,224,11.65
hazardous,hazardous_battery-13_aug1759.jpg,224,224,7.29
hazardous,hazardous_battery-13_aug242.jpg,224,224,11.66
hazardous,hazardous_battery-14.jpg,224,224,15.23
hazardous,hazardous_battery-14_aug1287.jpg,224,224,14.11
hazardous,hazardous_battery-14_aug1527.jpg,224,224,15.82
hazardous,hazardous_battery-14_aug190.jpg,224,224,15.2
hazardous,hazardous_battery-14_aug978.jpg,224,224,14.9
hazardous,hazardous_battery-15_aug1445.jpg,224,224,14.16
hazardous,hazardous_battery-15_aug1942.jpg,224,224,14.8
hazardous,hazardous_battery-15_aug2353.jpg,224,224,13.52
hazardous,hazardous_battery-15_aug2567.jpg,224,224,15.02
hazardous,hazardous_battery-15_aug2670.jpg,224,224,13.77
hazardous,hazardous_battery-16_aug1304.jpg,224,224,13.53
hazardous,hazardous_battery-16_aug2061.jpg,224,224,13.43
hazardous,hazardous_battery-16_aug2316.jpg,224,224,13.54
hazardous,hazardous_battery-17_aug1505.jpg,224,224,13.48
hazardous,hazardous_battery-17_aug1697.jpg,224,224,13.99
hazardous,hazardous_battery-17_aug843.jpg,224,224,13.47
hazardous,hazardous_battery-18_aug1737.jpg,224,224,13.57
hazardous,hazardous_battery-18_aug2733.jpg,224,224,12.45
hazardous,hazardous_battery-19_aug1335.jpg,224,224,14.41
hazardous,hazardous_battery-19_aug1501.jpg,224,224,14.43
hazardous,hazardous_battery-1_aug1274.jpg,224,224,11.22
hazardous,hazardous_battery-1_aug2041.jpg,224,224,11.28
hazardous,hazardous_battery-1_aug2622.jpg,224,224,10.58
hazardous,hazardous_battery-1_aug498.jpg,224,224,12.61
hazardous,hazardous_battery-1_aug665.jpg,224,224,11.3
hazardous,hazardous_battery-20_aug166.jpg,224,224,13.77
hazardous,hazardous_battery-20_aug2015.jpg,224,224,13.27
hazardous,hazardous_battery-20_aug2224.jpg,224,224,13.3
hazardous,hazardous_battery-20_aug2510.jpg,224,224,15.17
hazardous,hazardous_battery-21.jpg,224,224,11.11
hazardous,hazardous_battery-21_aug1919.jpg,224,224,10.86
hazardous,hazardous_battery-21_aug2211.jpg,224,224,11.36
hazardous,hazardous_battery-21_aug245.jpg,224,224,11.42
hazardous,hazardous_battery-21_aug608.jpg,224,224,12.45
hazardous,hazardous_battery-21_aug615.jpg,224,224,11.44
hazardous,hazardous_battery-22_aug639.jpg,224,224,11.77
hazardous,hazardous_battery-23_aug304.jpg,224,224,11.69
hazardous,hazardous_battery-23_aug390.jpg,224,224,13.12
hazardous,hazardous_battery-23_aug721.jpg,224,224,12.49
hazardous,hazardous_battery-24_aug107.jpg,224,224,13.34
hazardous,hazardous_battery-24_aug1435.jpg,224,224,12.66
hazardous,hazardous_battery-24_aug2562.jpg,224,224,12.98
hazardous,hazardous_battery-24_aug383.jpg,224,224,12.64
hazardous,hazardous_battery-24_aug922.jpg,224,224,11.77
hazardous,hazardous_battery-25_aug1650.jpg,224,224,14.47
hazardous,hazardous_battery-25_aug211.jpg,224,224,13.15
hazardous,hazardous_battery-25_aug2210.jpg,224,224,13.92
hazardous,hazardous_battery-25_aug2672.jpg,224,224,13.79
hazardous,hazardous_battery-25_aug2687.jpg,224,224,14.22
hazardous,hazardous_battery-25_aug413.jpg,224,224,12.96
hazardous,hazardous_battery-25_aug839.jpg,224,224,13.39
hazardous,hazardous_battery-26.jpg,224,224,12.54
hazardous,hazardous_battery-26_aug1225.jpg,224,224,12.56
hazardous,hazardous_battery-26_aug1719.jpg,224,224,13.18
hazardous,hazardous_battery-26_aug268.jpg,224,224,13.27
hazardous,hazardous_battery-27_aug1096.jpg,224,224,12.1
hazardous,hazardous_battery-27_aug1279.jpg,224,224,11.97
hazardous,hazardous_battery-27_aug1687.jpg,224,224,13.39
hazardous,hazardous_battery-28_aug1797.jpg,224,224,14.11
hazardous,hazardous_battery-28_aug1851.jpg,224,224,14.78
hazardous,hazardous_battery-28_aug273.jpg,224,224,15.01
hazardous,hazardous_battery-29_aug2589.jpg,224,224,14.74
hazardous,hazardous_battery-2_aug2049.jpg,224,224,13.21
hazardous,hazardous_battery-2_aug845.jpg,224,224,13.91
hazardous,hazardous_battery-30_aug142.jpg,224,224,16.11
hazardous,hazardous_battery-30_aug1561.jpg,224,224,13.72
hazardous,hazardous_battery-30_aug2075.jpg,224,224,15.71
hazardous,hazardous_battery-30_aug2444.jpg,224,224,15.49
hazardous,hazardous_battery-30_aug534.jpg,224,224,14.06
hazardous,hazardous_battery-30_aug643.jpg,224,224,14.12
hazardous,hazardous_battery-30_aug71.jpg,224,224,13.64
hazardous,hazardous_battery-31_aug1015.jpg,224,224,15.95
hazardous,hazardous_battery-31_aug693.jpg,224,224,16.02
hazardous,hazardous_battery-32_aug682.jpg,224,224,14.2
hazardous,hazardous_battery-33_aug1929.jpg,224,224,15.01
hazardous,hazardous_battery-33_aug2604.jpg,224,224,14.75
hazardous,hazardous_battery-34_aug217.jpg,224,224,17.17
hazardous,hazardous_battery-34_aug2592.jpg,224,224,15.75
hazardous,hazardous_battery-34_aug2654.jpg,224,224,14.35
hazardous,hazardous_battery-35_aug1978.jpg,224,224,18.27
hazardous,hazardous_battery-35_aug677.jpg,224,224,19.04
hazardous,hazardous_battery-36_aug1180.jpg,224,224,14.09
hazardous,hazardous_battery-36_aug362.jpg,224,224,15.0
hazardous,hazardous_battery-36_aug497.jpg,224,224,16.32
hazardous,hazardous_battery-36_aug979.jpg,224,224,14.82
hazardous,hazardous_battery-37_aug1051.jpg,224,224,16.69
hazardous,hazardous_battery-37_aug1060.jpg,224,224,16.87
hazardous,hazardous_battery-37_aug1743.jpg,224,224,18.44
hazardous,hazardous_battery-37_aug1765.jpg,224,224,18.46
hazardous,hazardous_battery-38_aug132.jpg,224,224,16.89
hazardous,hazardous_battery-38_aug1370.jpg,224,224,16.93
hazardous,hazardous_battery-38_aug1582.jpg,224,224,17.19
hazardous,hazardous_battery-39_aug1625.jpg,224,224,14.24
hazardous,hazardous_battery-39_aug1872.jpg,224,224,13.44
hazardous,hazardous_battery-39_aug836.jpg,224,224,14.22
hazardous,hazardous_battery-39_aug916.jpg,224,224,13.03
hazardous,hazardous_battery-3_aug1837.jpg,224,224,11.34
hazardous,hazardous_battery-3_aug346.jpg,224,224,11.18
hazardous,hazardous_battery-3_aug770.jpg,224,224,10.58
hazardous,hazardous_battery-3_aug974.jpg,224,224,10.59
hazardous,hazardous_battery-40_aug1301.jpg,224,224,12.16
hazardous,hazardous_battery-40_aug1740.jpg,224,224,10.86
hazardous,hazardous_battery-40_aug2277.jpg,224,224,10.97
hazardous,hazardous_battery-40_aug2437.jpg,224,224,10.24
hazardous,hazardous_battery-40_aug2620.jpg,224,224,10.92
hazardous,hazardous_battery-40_aug553.jpg,224,224,12.58
hazardous,hazardous_battery-41.jpg,224,224,13.63
hazardous,hazardous_battery-41_aug156.jpg,224,224,14.41
hazardous,hazardous_battery-41_aug1613.jpg,224,224,14.24
hazardous,hazardous_battery-41_aug262.jpg,224,224,14.24
hazardous,hazardous_battery-41_aug480.jpg,224,224,14.44
hazardous,hazardous_battery-42_aug1309.jpg,224,224,14.27
hazardous,hazardous_battery-42_aug1447.jpg,224,224,14.71
hazardous,hazardous_battery-42_aug603.jpg,224,224,13.85
hazardous,hazardous_battery-43_aug1163.jpg,224,224,12.96
hazardous,hazardous_battery-43_aug1442.jpg,224,224,12.62
hazardous,hazardous_battery-43_aug1838.jpg,224,224,13.0
hazardous,hazardous_battery-43_aug1910.jpg,224,224,12.48
hazardous,hazardous_battery-43_aug1953.jpg,224,224,12.01
hazardous,hazardous_battery-43_aug1981.jpg,224,224,11.55
hazardous,hazardous_battery-43_aug2520.jpg,224,224,12.0
hazardous,hazardous_battery-43_aug37.jpg,224,224,13.28
hazardous,hazardous_battery-44_aug1169.jpg,224,224,12.86
hazardous,hazardous_battery-44_aug432.jpg,224,224,12.75
hazardous,hazardous_battery-44_aug55.jpg,224,224,12.26
hazardous,hazardous_battery-45_aug1407.jpg,224,224,13.48
hazardous,hazardous_battery-45_aug1520.jpg,224,224,14.0
hazardous,hazardous_battery-45_aug224.jpg,224,224,13.81
hazardous,hazardous_battery-45_aug2422.jpg,224,224,14.05
hazardous,hazardous_battery-45_aug98.jpg,224,224,13.31
hazardous,hazardous_battery-46_aug1166.jpg,224,224,12.96
hazardous,hazardous_battery-46_aug831.jpg,224,224,12.89
hazardous,hazardous_battery-47_aug1543.jpg,224,224,15.9
hazardous,hazardous_battery-47_aug1988.jpg,224,224,15.7
hazardous,hazardous_battery-47_aug2402.jpg,224,224,16.09
hazardous,hazardous_battery-47_aug532.jpg,224,224,13.85
